cleaned_comment,label_id
hoan_nghênh ông trần dần có tư_tưởng tiến_bộ không chống_cộng_sản_việt_nam nữa chỉ có quên đi quá_khứ để yêu_thương ai cũng về già lo tu_thân sám_hối là điều lựa_chọn tốt nhất chúc ông trần dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão,0
mấy thằng già làm bộ_trưởng này nọ mà đầu_óc thua cả 1 bác nông_dân,2
võ thành_nhân huyền_thoại,0
sương_mù là tại thiên_tai,0
mình không quan_tâm cô_đơn cho lắm,0
thế e_thích làm phù_thủy r bạn nam phải làm s đây a_nhỉ,0
uầy tôi là cưng_phán các ông ạ được vl a ưi,0
maruko linh,0
ảnh này ở video superheroo nghe buồn não ruột,0
anh tik nói quá đúng luôn,0
bavi,0
ở đây ai là chủ,0
minh_mẫn vcl,1
chú bòn em chặt chứ ko ăn_nha,0
cực_kì thuyếhác xìá chết mẹ,0
lee_quang tôi toàn nghe nhạc của bùi_anh tuấn_hà anh tuấn nghe mấy bài này ko thấm nổi,0
nguyễn_trọng_thái người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không hay_là đợi thiệp hồng,0
có anh độ tết lúc_nào chả vui,0
nghe nói trước_đây 1 số thành_phần người hà_nội_kì thị_dân vĩnh_phúc đúng không nhỉ bh sao thì mấy ngừoi đó bị lây hết chưa ấy nhể,0
huy_hoàng,0
thảo ng_thua tại dốt av qa v,0
,0
dần_dần thấy jack mất hay,0
dì 3 ê_dì 3 là trai hay gái ạ,0
vợ cuốc_sư là bùi_kim thành còn vợ nhỏ là lisa_phạm,0
trước khi cắm lên đầu em 4 cái sừng nó cũng bảo_y như_thế,0
éo nha liu liu,1
name,0
cận thận nhà ae,0
idol,0
duyên_phạm ghê_tr nay văn_chương dữ hén,0
xin ạ,0
hoàng_minh,0
anh trung_magic,0
có một sự tồn_tại của đàn bò mang tên cực_kỳ thuyết_phục có sở_thích là nhai đi nhai lại mục_đích của chúng trên hành_tinh này vẫn chưa có lời giải_đáp theo như các nhà_động_vật_học cho biết loài bò này có lối sống hoang_dâm trụy_lạc có_thể động_dục bất_cứ lúc_nào con_số của loài này đang được gia_tăng đáng_kể,2
ck4mk4m là gì á_mn,0
cho toyy xin in4 fb hoặc sđt zalo hay ig được hong 33,0
chị chữi là chị cứu nhân_độ thế,0
nghi_vấn thầy chà_trộn ttbl tu,0
lại hợp sâm clm đến v thì ff,1
dao chặt không đứt kkkkk,0
hồng thy cái giọng điệu nói cảm_thấy hao_hao giống,0
nhanh thực_sự,0
đồng nhung máy_bay phalcon 10 tỷ belike,0
so pre tài_trợ_độ tây ngày hôm ngày,0
nghe kể chuyện tí rồi làm tiếp_a thanh_le,0
hoàng anh từ tư,0
dep trai moi co_nhieu dua yeu,0
bt các bạn phan_cuồng_chửi vậy mik đã ko nêu ra ý_kiến cá_nhân,0
thêm một người bị cộng_sản nhồi sọ không biết sao có_thể nạo_ra được hết chất_bã trong đầu,2
nghe giọng nứkg quá abe,1
ông làm bố tôi hơi lâu rồi đấy tùng sói said,0
vì refund top 1 nên tối nay mình xin phép eablabla,0
anh trung_giả kim,0
có khả_năng tối nay anh bị ngủ ngoài đường tu_bi con tờ niu,0
bùn_nhở,0
pháo thủ_toang cmnl,0
bóng khùng bóng điên,1
làm thêm chục củ mở hòm csgo anh êi v,0
lê huyền người ư sinh_vật hạ_đẳng chứ_ngươi ai lam_thế,2
cao_lãnh với chúng_tôi làyy,0
làm nhẹ 30 cho nó ok,0
,0
ặc,0
ai xin inb tôi đi,0
goodnow tran lo ở nhà đi ra ngoài tiết diên_mày bị mắc bệnh giờ tui cam_đoan là như dị,0
nhìn chị minh_hiếu có duyên hết_sức nói_chuyện rất chân_thật mặc_dù mỗi lần live_chửi rất táo_tợn nhưng nghe và nhìn chị ấy rất thánh_thiện và chất_chúc chị luôn vui_khỏe và hp_mong có dịp sẽ được gặp chị,0
dễ_thương và duyên quá cô ơi love cô,0
lê_thị bích_hồng tk trẩu,2
nhớ nuôi kiểu tóc này mới đủ combo nhé ae,0
chang chang,0
nguyễn_trang nói thật mị,0
1 ng thì giết 1 mạng 1 ng thì feed tụt lol,0
có pải nổ_lực là có được đâupải có 1 chút gọi_là may_mắn nữa,0
panda_thái đã xem,0
luôn ủng_hộ katm,0
còn bạn này nữa thầy ơi,0
giọng cuốn vc,0
nguyễn đào_nguyên,0
thế thua gì bác k công_khai mà cả vn điều biết tên e nó bác nghĩ ngta đón được sao,0
ai ki nghe nói cũng đi_ý về,0
không có thì sản_xuất ra,0
hợp_lí anh ơi,0
đc anh ui,0
con_người sao lại như_vậy,0
bảo dan tri_thap thì tự_ái,1
tại_sao phải trả_lời thầy,0
cái trend nghe có_vẻ mãi chúng_nó vẫn chưa chán nhỉ,0
đang lúc dầu_sôi lửa_bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà_nước nuôi tốn cơm tốn gạo,1
con nho nay hom truoc chui_ong ba cha me ca nguoi vn la_minh biet no bi_ma nhap no_truoc khi bi_chet gao thet kinh_hon de truoc khi xuong dia nguc,0
anh minh chậm cái con cặc,2
reaction thầy ơi,0
đoạn đánh răng chiếm quá nhiều thgian,0
đù dại ghê bọn đấy ngày nào nó cũng lên phường xiên cho nó 1 cái được tiếng luôn vào khám mấy anh_chị cũng thương_xiên hết mọi thằng trên phường luôn cho nó sum,1
chị 3 cho e 200 triệu đi làm chymmm đi huhuh,0
tóm_lại là chửi nhau phải có văn_hóa e_thích page rồi đấy,0
a tiệp,0
khi đi nhớ đem theo susan nha thầy,0
cái tay cái tay,0
vẫn có 1 người tặng quà va len_thai cho mình mn ạ,0
giật cho mất mẹ cả cái mụn ruồi,0
tóm_lại là con gái hay trai bực_mình vl nhìn hoài ko ra,1
đào hà_văn rinaky cn anh_chị ơi cẩn_thận nhé ạ,0
điều_kiện hạn_chế viruss phát_tán có_thể là phòng trên 26 độ là cơ_bản còn mọi thứ điều cis_thể hãy đọc kĩ những bài nói về viruss corona the_trang chính_thống_nha,0
bắt được đừng chữa nhốt vào cho chết luônloại này đừng để đẻ trứng,2
optimusthree với 99 sức_mạnh,0
3,0
hahahaha,0
ô thế mọi người k bit ak trần dần mắc bệnh từ khi chưa có dịch akông này mắc loại bệnh còn nguy_hiểm hơn covid 19,0
đồng_bọn nhỏ đó khi zo tù,0
nguyễn_thị_luận hà_nam cũng vậy,0
gáy to thế_mi anh,0
bảo_tín đi du_lịch gặp con gì ngứa_ngứa ở biển e đã sợ lắm r sao xuất_hiện con này nữa,0
học cách kiểm_soát bộ_não của mình đi thích thì tiến tới ghét thì bỏ_qua,0
phạm linh_ko co_cl,1
qtrong gì trước_sau gì chẳng về 1 nhà,0
tức diêng là idol vẫn còn ngon cơm tức diêng là mắt thấy tai nghe chứ ko phải nằm chiêm bao,0
con thương cô lắm,0
cực_kỳ thu,0
thánh_chửi lãnh_án,0
xe chở súc_vật mong người_dân hãy tránh xa đề_phòng súc_vật phóng_uế lung_tung làm mất vệ_sinh,2
à thế bạn ý hát bài j jui có ai giới_thiệu cho mình đc ko lâu jui mình chẳng nghe bài hát mới nào cả,0
chúc anh_em năm mới vui_vẻ an_khang_thịnh vượng,0
có táo_quân thỳ mới là tết chứ,0
samsung vẫn đi làm bth nhé mỗi ngày đi làm là 1 ngày vui,0
chú trung_đầu l chứ chú tí đầu lân clg,2
chi đep qua chie thích qua,0
oh shjt,1
cáo từ,0
nhật long toang kiểu ni còn lâu lắm,0
hiếu bùi_sủa dơ,2
ok trung_bảnh,0
,0
ad nói phét à bê_tông ăn thế_nào đc,0
con thuong co ba,0
á nhà tiên_tri ủng_hộ nghị_quyết 36 rồi nhé,0
nguyễn_thị_phương bạn ơi cho mình xin ảnh để sống ảo_đc k ạ,0
chào nhà_báo vũ_hoàng_lân chào_danh hài_vũ_trụ trần tiger,0
ok đẹp_trai v,0
lan hoa_tùng có dùng acc clone đi cmt đâu dạo,0
ăn bận như cac họ,1
cực kì_thuyết p,0
nhảy thế kia nhỡ may tiếp đất ko chuẩn lại ngã thì sao thôi tôi tớ nhiều cứ bảo 1 thằng ra cõng cho chắc,0
chửi hay lắm ad,0
chào nhéee,0
thu trang,0
đau_đầu vl,0
mày nói như lồn bọn đa_cấp nó đóng thuế còn gấp chục lần doanh_nghiệp tao cho thằng thớt ăn_lồn không oan chứ thằng bên dưới,2
thế cơ_á,0
day khong phai_la con nguoi_nua tinh_tinh_tinh,1
tks thầy nha,0
quá ngu lồn đi,1
fan cô minh_hiếu đâu taaaa,0
nguyen ngoc tam_gia_phú phải không,0
tình đồng_chí thật kiên_trungsách lịch_sử dạy giặc tra_tấn dã_man thế_nào cũng không mở mồm có,2
bác dần chớm có tình_yêu nước r đấy,0
toang quá thầy ơiiii,0
làm cái đéo gì thì làm đừng để ng ta nhắc đến vn là gắn với từ ăn_cắp,1
chị ba nói_chuyện dễ_thương quá,0
,0
cả nước đồng_lòng riêng em thi ko,0
còn ngưỡng_mộ có ba nhé hihihi,0
báo công_an đi rồi quản_lý thị_trường hốt em luôn_thể,0
im mẹ đi thằng mặt lon,2
thằng ad này não bị delay 3 năm à,2
,0
how to nói đểu vợ,0
mới hả mn,0
ad hãy tìm số báo nào của báo quân_đội khi viết barách ôbama và đôna trăm vãi báo,1
bọn chó sủa bậy,1
thì ra thầy đã có tính tấu hài từ lúc làm tuyển_thủ chuyên_nghiệp,0
sếp nhà mình cũng thế,0
bon comcom đơn_vị tác_chiến_điện_tử vs nhật_ký yêu nước dm chúng_mày vào mà đọc tưởng ai cũng như chúng_mày hết đấy,2
các em nầy khi vào báo công_ngủ với ác_hồ thì phải chỉa vào mặt ác_hồ như_thế nầy nè,2
giận méo mặt,0
mv khá chất_lượng,0
đi làm cũng khổ,0
thầy duo với levi để tú_bơ vơ,0
lại 1 người nữa ra đi,0
bác ơi chói quá,0
tự_hào quá vn ơi,0
khổ thân anh độ giải này mà nát mấy ông anti lại um lên cho mà xem rồi team lại đủ thứ buồn còn ngày_mai nữa mong các anh cố_gắng,0
ai yêu ib nhé,0
chu_hoài tạo_hình suốt mà giờ mới trend,0
em mê con_nhỏ ngoài trần duy_hưng nhưng phải cố_gắng nhiều hơn,0
tại mấy a tàu mà ra,0
sợ thật ấy,0
xin phép cả nhà nhaaaa,0
so với nghệ_thuật sắp_đặt trị_giá 8100 tỷ_vnd của ông hoàng trung_hải thì tác_phẩm trái chuối rất là chuối,0
nước hoa_đểu lấy đâu ra xịn hot girl_méo gì nhìn xấu vkl thề,2
sam luôn_luôn đi theo cặp nhé 2 con chồng lên nhau ý,0
trường giang_no no đg chỉ_trích vì tính_ích kỷ_k nghĩ cho ngkhac chứ bả sống thì tốt th chứ có j đâu,0
,0
chúc_mừng năm mới,0
quân tâm_ae có link xem chưa bao phê luôn ae ơi,0
thầy làm gì cũng được đừng ra mv hát là được nha thầy nói chứ dm mãi yêu thầy,0
cứ như là 1 kịch_bản hay cho việc hợp_lý hóa xây sân_bay long thành,0
cổ động_viên quảng_ninh nhưng rất thích_chất cổ_động_viên hải_phòng,0
đưa ô già đi trốn hợp_lý hơn,0
suni hạ_linh sau khi thấy vid này,0
bóng dơ,2
mai ánh thi có nha em ơi ibx nha,0
có tiền đi đường quyền,0
trần bình_trọng vừa xog 1 k like các bác sống nhanh vl,1
tôi nghĩ tiền không làm gì được các ông ạ,0
nhớ đến đấng nha 3 gà,0
mê cô quá,0
vô_tình thấy giống anh quá,0
đặng_thái_hoàng châu_dư_âm từ năm này sang năm khác,0
tú ko cho anh 3 blue và cái kết,0
fan cứng nè,0
em đây anh ơi bây_giờ em mới nhận ra bên em còn có 1 người anh tuyệt_vời như anh anh độ ạ,0
i love you to ca_mo,0
đumoe nói leo,1
pha đánh răng ám_ảnh nhất lịch_sử điện_ảnh có_thể lưu_truyền mọi thời_đại là biểu_tượng để các diễn_viên học_tập theo,0
đumá tubiên tudiēn luon,1
,0
hoc cc gi_nua ve_san voi ma_kiem an_z,1
thanh_phương c làm 1 bài review đi c,0
đình_quang thô_nhưnh thật quá bác ạ,0
abe có_thể chiếm_đoạt được trái_tim của tiểu_tiểu nhưng riêng blue của tiểu_tiểu thì abe tuổi lol chiếm_đoạt được vv,0
đúng là chó làm người phải chịu haizzz,1
bùi_minh huệ crush ưii anh thích em đó,0
cô minh_hiếu nói_chuyện thật_thà dễ_thương quá,0
ai biết tên kiểu này là gì không ạ,0
uống nước là đi tù,1
đéo hiểu kiểu gì,1
e chúc_panda của abe iu dấu 2010 vui_vẻ nhé và đừng quên xóa kênh,0
đờ mờ cuộc_sống,1
phải xử_lý hình_sự mới sáng_mắt ra đc,0
dạo này nước mỹ_ko dc an_toàn sao không thấy cây súng của nhà tien_tri vậy,0
em về tộc anh r nhưng chưa có fc,0
khó_chịu vãi,0
ri thì như thor luôn,0
góp vui một_tí 3,0
mọi người xin dành 1 chút thời_gian nguyên_góp mỗi người 1 like vào ảnh đại_diện của tôi được hong,0
triệu hồi phúc_nghẹotrọng lú,2
nói z thôi cho dân_chúng bớt xoắn lên nhưng thực_chắc cũng đâu_vào_đấy nó chơi ngầm thì đố ai biết cái nhà_nước này nó nát bét hết rồi các bác đừng có mơ làm nhà_nước nữa từ cấp 3 đã xác_định là làm nghề gì mà k liên_qua nhà_nước rồi vì tao biết g,2
thời_gian ủ_bệnh lên tới 14 ngày khả_năng cao vẫn phải cách li theo_dõi thêm,0
mặt độ trông buồn_cười vl kiểu con ơi cho bố cầm ms kkk,0
pha xử_lí hay nhất từng xem,0
thêm quả carô ở trong nữa nhìn chán,0
bà này đỉnh thật nữ_tướng đáng khâm_phục giá_như mà việt_nam có sự lãnh_đạo của bà thay cho ntkn thì hay cho đất_nước,0
dư_luận_viên vào ẳng nào v,2
from,0
nghe kì_kì sao á con trai với mẹ mà liệu mấy cái lời nghe,0
lisa cai_lậy,0
tq hắc_xì cả thế_giới phải rung chuyển,0
nghiệp bê đê nặng lắm r má ơi,2
duy_trần xin video với,0
yêu thầy dấu bé 3,0
nó giống vãi lol a ưi,0
cũng đã đến lúc những người làm công_tác bảo_vệ an_ninhcác khu_phố cần vào_cuộc vì hình_ảnh của đất_nước không để mấy thằng lưu_manh làm mất mặt được,2
add e muốn mua cái này mua ở đâu ạ,0
lại lên_cơn hoang_tưởng bậc cao hơn,0
nguyễn_minh_bộ ba siêu_phẩm r sao đọ,0
phương minn_ngộ nghĩnh nhỉ lạ lone_nhỉ rõ_ràng cố_tình tạo phốt để bán hàng online mà làm như hay lắm sống dơ v ai mua đồ cho trời,2
chiến_trần chuẩn,0
yo min,0
hình_như thiếu 4 x 3,0
chỉ chịch xã giao thôi,1
trúc ngân_ơ s lại đi so_sánh dink_kout của cây a_tê em vs đỉnh_cao của jack vại bạn thiệt là khập_khiễng vs cả thiệt_thòi cho bạn nện đàn dzợ,0
hoàng kiên_nói đúng lại còn chuẩn,0
có cc nè em,2
page lâu_lâu nói_chuyện chuẩn dễ sợ,0
kinhh,0
quảng_cáo lộ liễu quá,0
nghĩ ló_chán,0
nghe thế thôii làm theo mấtt hếttt,0
loại này phải,0
buồn a ạ,0
mong mấy bác được cách li ở nhà đừng trốn là em vui rồi cứ đi nhông_nhông thì em cũng sợ,0
bậy zòi v nhìn bên trái đi d đừng nhìn bên phải v,0
hợp_lý a ưi,0
nguyễn_trọng_hiệp hiệp_bmw à,0
do lười chụp ảnh có mỗi kiểu chụp trộm thôi,0
thân_hình phụ_huynh gương_mặt học_sinh,0
giống như câu ngêu sò tranh nhau ngư ông đắc_lợi,0
hợp_lí anh ưiii,0
đinh nguyễn_vươn anh tuan,0
vũ_mai ly_ui thật á,0
huyền_khánh phùng chả_vờ chả vịt,0
nguyễn_định tui xợ á,0
minh tran uh mình nghe cũng nghĩ là người miền trung mà bả ko biết phân_biệt,0
chị ba sang quá àđi hửi quần_xì của con les,2
đi sau việt_nam hàng thập_kỉ,0
chúng_mày phải thông_cảm các anh ý đều có ước_mơ làm hình_sự nhưng dòng đời xô_đẩy phải đi làm trật_tự và giao_thông,0
hang vu_đú trend lâu roài,0
thuyết_phục vl,0
rõ_ràng chức_danh chủ_tịch màsao ý_thức lại khác vậy,0
nguyễn_thanh_mai trúc_t hay kể chuyện cười cho m nghe nh làm_việc gì nhớ tập_trung chuyên_môn nghe ch,0
nhà nói dóc nhà ảo_tưởng chứ biết con mẹ gì mà tiên_tri,2
bạn trai nhà người ta chưa bao_giờ làm tôi thất_vọng,0
đợi ei,0
tiêu_chảy cấp,0
sang năm mới mong anh bớt hí nha,0
lúc đó tôi tưởng thế_là ngầu,0
nhìn chất_vãi lìn anh ơiiiii,0
nguyễn_tuấn phong_thương chị quá,0
âu cũng là số_phận muốn đóng vai_thiện nhưng đời xô đẩy,0
hi_vọng chị kế_toán cũng thấy cái này chị ơi vì một cái tết ấm_no hãy thương tụi em,0
ngọc huy_học hỏi idol để có quả đầu đẹp nha,0
benben duong,0
trời ơi cưng quá cô ơi,0
chui nua di_co cho bo tat ngua,1
nể nhất anh phóng_viên ngồi mặt tỉnh_bơ ko biến_sắc,0
vợ em mấy anh ơi em lớp trưởng nè,0
bản kia hay hơn,0
dạo này pản_động nhiếu quá mấy bạn bò đỏ ah d,2
chất vlon a ưii,0
ủa ah nói hay vậy,0
cái cap hơi gây war đó nhavậy tui nói chương_trình mấy người này nọ mấy người chịu khôngnói gì thì suy_nghĩ vàoxin lỗi chứ chương_trình có duyên mà cmt đ có duyên thì dẹp hay im m mồm cho xongthân,2
nhà tiên_tri hay đấy ông có thêm 1 phiếu về vn chơi nhé,0
đặt khô gà ở đâu v thầy ơi,0
ngọc như chắc là sẽ bíu_ty phun lắm đâyyy,0
nhà thầy đâu tết ghé coi,0
lê văn_tám là hư_cấu à bacd,0
dân miền tây_nam rất thích đeo vàng khoe khoang nhỉ,0
cưng bã dễ sợ,0
tiên_tri vũ_trụ múa võ vui kinh_nhể thấy tiên_tri dùng thế cuối rồi nói câu súng bắn không trúng dao_chém không lủng tự_dưng muốn cười kinh_khủng_ka ka ka,0
đm hcm đường_mòn hồ chí_minh v,2
lại dễ ăn quá làm ở nhà nhé,0
đinh phước_sống nhanh chậm t chửi hết,0
cô ba minh_hiếu xuất_sắc quá nè mọi người,0
mời dì hai ca_sỹ tuấn_phong đi anh_chị,0
t bên này t còn dell giám_dùng tien mà s chj 3 xaolol vay nhà toàn trã góp sūa cl,2
duy_trần xin video luôn ông ơi,0
lộc đéo cmt là bác đc yên_r lộc cmt cái bác lên nóc nhà bắt con gà bãi đéo nào cũng có dấu_răng của l,1
sao thầy kh múa quạt nhỉ,0
ngô tấn_hưng ông đang nâng trình thầy ba hay kéo trình duke xuống vậy,0
,0
lại nghĩ cảnh tập_trận chống bạo_động đại_hội đảng cứ tập_trận như đúng rồi sợ dân ta đến biểu_tình nên phải làm_vậy đây mà,2
con này k bỏ tù cũng phải bồi_thường thiệt_hại cho đất_nước thì mới mong đc sự tha_thứ,0
đúng là chỉ còn loi kg mà hai văn được,0
thứ ngu như m nói_chuyện mất tgđi_học lại lớp mẫu_giáo đi,2
may là có ý_thức chứ k như mấy người bỏ trốn,0
nguyễn_đạt tôi nói k cùng gu mà bro,0
người cao bằng đẹp_trai là thế đấy các bạn ạ,0
kb ib có video,0
bé bú trên để bố bú dưới,0
ba gà dẫn gái về phong_stream,0
sao cô giống đàn_ông thế cháu tưởng đàn_ông,0
vì yêu anh nên em_nguyện làm ng tăng động,0
tối nay em sẽ đi học chớ ko đi chơi nha abe,0
bố lạy mày đừng hiếp_dâm thị_giác của bố nữa ad à,1
nguyễn_hoàng hoài_thương,0
đỗ thủy trinh_giông y_mạng nhà m,0
toàn dân_công_giáo,0
hóng phim ra rạp,0
bạn bị phạt khi chê lãnh_đạo kênh kiệungucùi_bắp không phải vì bạn xúc_phạm họ mà vì bạn đã lộ bí_mật quốc_gia,2
cực_kỳ thuyết_phục,0
có ai chơi gay_hông ib mình đi,0
tran dan tien bomoi gia_nhap dcs,0
e khoe_ké với ạ,0
okay thả tim cho 2 bạn,0
ok a zai,0
gốc tàu mà chửi trung_quốc ghê,0
cố lên cố lên,0
dương_ly nhím,0
phan_quỳnh anh bóp d là gì m,0
chào các bạn quay trở_lại với tòi súng_vờ lốc,0
rách háng như_chơi,0
có_vẻ là người nổi_tiếng v,0
súng bắng k chítdao chặc k đứctấc nhiêng vi_trùng tôvít sao xâm_nhập đc dần đầntui cam_đoan là như zịơn zời dần_đần có món thần quyền mônnếu k giờ tò_tí te roày,0
hàng fake bạn,0
động_cơ quyên_góp tiền là gì,0
đm ad m óc cức lắmđm người ta khổ chứ đéo rãnh lên đăng ba cái tào_lao như m đâum cho người ta đc đồng xu_cắt bạc nào chưaở đây xạo lồnmẹ m sinh cái tay m ra trước hay sao m ngu v,2
nổ như chó,1
t đã đi ngủ từ lúc 10 r nhưng đ_thể_nào ngủ nổi,0
công_nhận cái khẩu_trang giống thật còn,0
đúng là ở kingdom_đẳng_cấp khác hẳn,0
có lồn đâu mà lấy 1 tỷ chùi trời,1
yếu_đuối vl thế thì sao bước qua nổi sóng_gió cuộc_đời,0
hợp_lý,0
nhìn cái bút đã muốn ấy ấy,0
òa là thầy_giáo lại vừa đẹp_trai lại chu_đáo mê quá đi à,0
khôn ra rồi đấy t sẽ cho m ở lại trái_đất,0
nhớ bả_binh lắm mà,0
sam sam hậu_hoàng đó,0
bao_giờ cho đến ngày xưachúng ta hãy biết_ơn lịch_sử suốt từ thời 3 lần đánh nam_hán trên sông bạch_đằngđừng như bây_giờ tên cũng không dám gọichúc bác lượng luôn an_toàn,2
nó chửi như_vậy mà vẫn là cô linh_cơ à không có lòng tự_trọng sao,0
nhìn bà trang giống tăng thanh_hà ghê,0
phải chăng vn sẽ chia làm đôi miền bắc theo khựa miền nam theo mẽo miền trung_chắc theo lào v,0
hợp_lý hơn nè abe,0
cách_ly tại nhà rồi nhaa mn,0
bao_nhiêu cái tý trôi qua rồi mà vẫn không thấy đâu quá buồn,0
đéo biết game phải để giải_trí không nữa,1
có màu rằn ri_ko b,0
kanh nè d,0
chịu cứng,0
đã dislike_mv của jack để ủng_hộ cây ây_ti em,0
diễm ngọc vui thôi đừng vui quá,0
lưu bảo_toàn đọc hại não vcl,1
tưởng gì bắt_chước trend của mình hồi nhỏ 1 ngàn 9 trăm hồi đó,0
khỏi đi để cháu còn đi học,0
thầy địt mẹ giả tạo vl,2
đỷ chị minh_hiếu,2
giáo_án ma phi_te của thầy thật bổ_ích,0
nhungcovid tài_trợ hết lo gì,0
hahaha đĩ nl con bà 2 sinh_cl bị sình đó b,2
mỹ_duyên_t kể chuyện gì dạ,0
vẫn là abe nhưng ở 1 nền nhạc khác,0
lolzzzz,1
mai quach ok hoa rơi cửa phật,0
